x;y
133;-120
133;-117
133;-115
133;-113
132;-109
132;-109
127;-102
124;-98
120;-90
117;-87
114;-84
110;-84
106;-84
99;-84
95;-84
89;-84
84;-84
73;-84
68;-84
62;-84
57;-81
54;-79
52;-76
49;-74
43;-69
40;-66
37;-62
33;-59
30;-55
23;-48
20;-45
16;-42
13;-38
6;-31
3;-28
0;-24
-7;-17
-10;-14
-13;-10
-17;-7
-21;0
-22;4
-24;8
-25;12
-28;21
-28;24
-28;28
-28;31
-28;35
-28;43
-30;47
-33;52
-35;56
-40;65
-42;69
-46;69
-50;69
-57;69
-61;69
-65;69
-69;73
-78;82
-83;86
-87;91
-92;95
-93;101
-93;103
-93;106
-93;108
-94;115
-96;119
-99;124
-101;129
-107;130
-109;130
-111;130
-112;130
-116;130
-117;130
-119;130
