x;y
-111;120
-111;120
-111;120
-111;120
-112;120
-115;120
-119;120
-126;120
-130;120
-132;120
-129;120
-125;120
-118;120
-114;120
-110;120
-103;120
-99;120
-96;120
-92;120
-88;120
-91;120
-98;120
-102;120
-106;120
-108;120
-104;120
-100;120
-93;120
-89;120
-86;120
-83;120
-80;120
-76;120
-70;120
-69;120
-73;120
-80;120
-84;120
-87;120
-95;120
-98;120
-102;120
-105;120
-111;120
-107;120
-104;120
-100;120
-93;120
-89;120
-87;120
-84;120
-79;120
-77;120
-74;120
-71;120
-67;120
-60;120
-60;120
-53;120
-49;120
-42;120
-38;120
-34;120
-27;120
-23;120
-16;120
-9;120
-5;120
-2;120
1;120
8;120
12;120
16;120
19;120
23;120
27;120
34;120
37;120
41;120
45;120
48;120
56;120
59;120
63;120
67;120
74;120
78;120
81;120
89;120
96;120
99;120
103;120
107;120
110;120
118;120
121;120
125;120
129;120
136;120
140;120
143;120
147;120
151;120
152;120
152;120
