x;y
120;-120
120;-120
120;-118
120;-116
120;-114
120;-112
120;-111
120;-105
120;-102
120;-98
120;-91
120;-87
120;-83
120;-80
120;-76
120;-69
120;-65
120;-61
120;-58
120;-51
120;-47
120;-43
120;-40
120;-32
120;-29
120;-25
120;-21
120;-12
120;-8
120;-3
120;1
120;10
120;15
120;20
120;25
120;34
120;39
120;44
120;48
120;58
120;63
120;67
120;72
120;81
120;86
120;91
120;96
120;102
120;106
120;109
120;112
120;115
120;116
120;116
120;116
120;116
120;116
120;115
