x;y
-130;125
-125;115
-122;110
-120;106
-118;101
-113;101
-111;101
-109;101
-107;101
-103;97
-103;93
-103;89
-103;82
-103;82
-103;74
-103;69
-103;64
-103;60
-103;50
-103;47
-103;44
-103;39
-103;37
-103;34
-103;31
-103;24
-104;21
-106;18
-109;12
-109;12
-112;6
-115;4
-118;1
-124;-2
-128;-4
-131;-6
-134;-7
-134;-9
-134;-13
-134;-16
-134;-19
-134;-26
-134;-30
-134;-33
-134;-36
-134;-44
-134;-47
-134;-51
-134;-54
-134;-64
-134;-69
-134;-74
-134;-78
-134;-86
-134;-89
-134;-92
-134;-94
-134;-99
-134;-102
-134;-104
-134;-109
-134;-109
-134;-114
-134;-116
-132;-116
-125;-116
-121;-116
-118;-116
-114;-116
-115;-116
