x;y
119;130
115;130
112;130
103;127
99;125
94;123
90;121
81;116
78;114
74;113
70;111
70;107
70;106
70;104
70;101
70;94
70;91
70;88
70;85
70;78
68;75
65;71
62;68
55;62
52;61
49;59
45;57
39;54
35;52
32;50
29;48
25;44
23;42
21;40
19;36
17;30
17;27
17;23
17;20
17;13
17;10
17;7
17;3
17;-1
17;-3
14;-4
11;-6
6;-9
3;-11
0;-12
-2;-12
-8;-12
-11;-12
-14;-12
-17;-12
-22;-12
-24;-12
-27;-12
-29;-12
-34;-14
-36;-17
-38;-19
-40;-21
-44;-25
-45;-28
-45;-31
-45;-35
-45;-41
-45;-45
-46;-47
-47;-50
-50;-55
-52;-57
-53;-60
-55;-60
-62;-60
-66;-60
-70;-60
-73;-60
-79;-63
-81;-65
-83;-67
-85;-68
-89;-72
-91;-74
-92;-76
-94;-78
-97;-82
-98;-84
-100;-86
-103;-90
-104;-92
-106;-93
-108;-97
-108;-99
-108;-101
-108;-105
-108;-105
-108;-109
-110;-111
-111;-112
-113;-114
-114;-115
-117;-118
-117;-118
-117;-118
-117;-118
-117;-118
-117;-118
