time;x;y
63;120;121
126;120;119
189;120;114
252;120;112
315;120;109
378;120;105
441;118;103
504;115;101
567;113;99
630;108;96
693;105;95
756;102;95
819;95;95
882;91;95
945;87;95
1008;83;95
1071;79;95
1134;76;95
1197;68;95
1260;64;95
1323;61;95
1386;57;92
1449;52;85
1512;50;82
1575;48;78
1638;46;75
1701;43;67
1764;41;64
1827;39;60
1890;38;57
1953;34;50
2016;33;48
2079;31;45
2142;29;43
2205;25;37
2268;23;35
2331;21;32
2394;19;30
2457;15;26
2520;12;24
2583;10;22
2646;8;20
2709;4;16
2772;2;14
2835;0;12
2898;-1;10
2961;-6;6
3024;-7;3
3087;-9;1
3150;-11;0
3213;-14;-5
3276;-16;-7
3339;-18;-10
3402;-21;-15
3465;-22;-17
3528;-23;-20
3591;-25;-22
3654;-26;-25
3717;-26;-30
3780;-26;-33
3843;-26;-35
3906;-26;-38
3969;-29;-42
4032;-32;-44
4095;-34;-46
4158;-37;-48
4221;-42;-52
4284;-45;-54
4347;-48;-56
4410;-51;-58
4473;-58;-61
4536;-61;-63
4599;-64;-64
4662;-69;-68
4725;-72;-71
4788;-74;-73
4851;-77;-76
4914;-80;-82
4977;-82;-84
5040;-84;-87
5103;-85;-90
5166;-87;-93
5229;-90;-99
5292;-92;-102
5355;-94;-104
5418;-97;-108
5481;-99;-110
5544;-102;-112
5607;-104;-113
5670;-106;-113
5733;-111;-113
5796;-114;-113
5859;-116;-113
5922;-118;-113
5985;-123;-113
6048;-125;-113
6111;-127;-113
