time;x;y
63;-118;119
126;-118;119
189;-118;116
252;-118;111
315;-118;107
378;-118;97
441;-118;93
504;-118;89
567;-118;87
630;-118;81
693;-118;79
756;-118;76
819;-118;70
882;-118;70
945;-118;62
1008;-118;59
1071;-118;51
1134;-118;51
1197;-118;44
1260;-118;41
1323;-118;37
1386;-118;30
1449;-118;25
1512;-118;20
1575;-118;15
1638;-118;6
1701;-118;1
1764;-118;-1
1827;-118;-4
1890;-118;-9
1953;-118;-12
2016;-118;-15
2079;-118;-24
2142;-118;-24
2205;-118;-33
2268;-118;-38
2331;-118;-43
2394;-118;-49
2457;-118;-52
2520;-118;-54
2583;-118;-59
2646;-118;-59
2709;-118;-66
2772;-118;-69
2835;-118;-72
2898;-118;-79
2961;-118;-82
3024;-118;-85
3087;-118;-92
3150;-118;-92
3213;-118;-99
3276;-118;-102
3339;-118;-105
3402;-118;-112
3465;-118;-115
3528;-118;-119
3591;-118;-122
3654;-118;-122
3717;-118;-122
3780;-118;-122
3843;-118;-122
3906;-121;-122
