;time;x;y;fx;fy
;63;120;-120;0;59
;126;120;-120;0;59
;189;120;-120;0;59
;252;120;-120;0;59
;315;120;-113;0;256
;378;120;-109;0;256
;441;120;-104;0;256
;504;120;-99;0;256
;567;120;-89;0;268
;630;120;-85;0;268
;693;120;-80;0;268
;756;120;-75;0;268
;819;120;-70;0;268
;882;120;-61;0;312
;945;120;-57;0;312
;1008;120;-54;0;312
;1071;120;-47;0;312
;1134;120;-43;0;312
;1197;120;-39;0;312
;1260;120;-36;0;301
;1323;120;-32;0;301
;1386;120;-25;0;301
;1449;120;-21;0;301
;1512;120;-18;0;301
;1575;120;-14;0;313
;1638;120;-7;0;313
;1701;120;-3;0;313
;1764;120;0;0;313
;1827;120;7;0;304
;1890;120;11;0;304
;1953;120;14;0;304
;2016;120;18;0;304
;2079;120;22;0;304
;2142;120;29;0;289
;2205;120;33;0;289
;2268;120;36;0;289
;2331;120;40;0;289
;2394;120;47;0;289
;2457;120;51;0;288
;2520;120;54;0;288
;2583;120;58;0;288
;2646;120;65;0;288
;2709;120;69;0;288
;2772;120;73;0;232
;2835;120;79;0;232
;2898;120;82;0;232
;2961;120;86;0;232
;3024;120;89;0;232
;3087;120;93;0;262
;3150;120;102;0;262
;3213;120;107;0;262
;3276;120;112;0;262
;3339;120;116;0;262
;3402;120;121;0;42
;3465;120;121;0;42
;3528;120;121;0;42
;3591;120;119;-93;-159
;3654;120;114;-93;-159
;3717;120;112;-93;-159
;3780;120;109;-93;-159
;3843;120;105;-93;-133
;3906;118;103;-167;-133
;3969;115;101;-167;-133
;4032;113;99;-167;-133
;4095;108;96;-167;-133
;4158;105;95;-167;-39
;4221;102;95;-312;-39
;4284;95;95;-312;-39
;4347;91;95;-312;-39
;4410;87;95;-312;-39
;4473;83;95;-312;-84
;4536;79;95;-245;-84
;4599;76;95;-245;-84
;4662;68;95;-245;-84
;4725;64;95;-245;-84
;4788;61;95;-245;-218
;4851;57;92;-245;-218
;4914;52;85;-138;-218
;4977;50;82;-138;-218
;5040;48;78;-138;-218
;5103;46;75;-138;-238
;5166;43;67;-120;-238
;5229;41;64;-120;-238
;5292;39;60;-120;-238
;5355;38;57;-120;-238
;5418;34;50;-120;-181
;5481;33;48;-120;-181
;5544;31;45;-147;-181
;5607;29;43;-147;-181
;5670;25;37;-147;-181
;5733;23;35;-147;-181
;5796;21;32;-147;-181
;5859;19;30;-147;-149
;5922;15;26;-161;-149
;5985;12;24;-161;-149
;6048;10;22;-161;-149
