x;y
-125;-120
-122;-120
-118;-120
-114;-120
-111;-120
-112;-120
-116;-120
-120;-120
-123;-120
-130;-120
-134;-120
-138;-120
-145;-120
-148;-120
-152;-120
-155;-120
-163;-120
-166;-120
-170;-120
-173;-120
-171;-120
-168;-120
-160;-120
-157;-120
-153;-120
-151;-117
-151;-115
-151;-114
-151;-110
-151;-109
-150;-109
-146;-109
-139;-109
-135;-109
-131;-109
-128;-109
-124;-109
-120;-109
-113;-109
-109;-109
-106;-109
-98;-109
-95;-109
-91;-109
-84;-109
-80;-109
-80;-109
-73;-109
-69;-109
-62;-109
-59;-109
-55;-109
-48;-109
-44;-109
-40;-109
-37;-109
-33;-109
-29;-109
-22;-109
-18;-109
-15;-109
-7;-109
-4;-109
0;-109
6;-109
10;-109
13;-109
17;-109
24;-109
28;-109
32;-109
35;-109
43;-109
46;-109
50;-109
54;-109
57;-109
65;-109
68;-109
72;-109
76;-109
83;-109
87;-109
90;-109
94;-109
101;-109
105;-109
109;-109
112;-109
116;-109
117;-109
